,Company,Date,Price,Share Total,Type,Price_m
331,LEM Holding SA,28.06.2017,107972.0,90,Purchase,0.1
332,LifeWatch AG,28.06.2017,7496000.0,495248,Sale,7.5
333,LifeWatch AG,28.06.2017,2684000.0,175593,Sale,2.7
334,Allreal Holding AG,27.06.2017,43462.0,250,Purchase,0.0
335,HIAG Immobilien Holding AG,27.06.2017,37942.0,311,Purchase,0.0
336,KTM Industries AG,27.06.2017,363691.0,70000,Purchase,0.4
337,Perrot Duval Holding SA,27.06.2017,17160.0,286,Purchase,0.0
338,Ypsomed Holding AG,27.06.2017,198873.0,1000,Purchase,0.2
339,Edisun Power Europe AG,26.06.2017,5400.0,101,Purchase,0.0
340,Idorsia Ltd,26.06.2017,549119.0,35427,Purchase,0.5
341,Schindler Holding AG,26.06.2017,91343.0,729,Sale,0.1
342,Schindler Holding AG,26.06.2017,7488.0,60,Purchase,0.0
343,Galenica AG,23.06.2017,75766.0,1695,Purchase,0.1
344,LEM Holding SA,23.06.2017,9600.0,8,Purchase,0.0
345,Swiss Finance & Property Investment AG,23.06.2017,453851.0,602959,Sale,0.5
346,nebag ag,23.06.2017,261250.0,25000,Purchase,0.3
347,Chocoladefabriken Lindt & Sprüngli AG,22.06.2017,837800.0,142,Sale,0.8
348,Galenica AG,22.06.2017,780641.0,16734,Purchase,0.8
349,HIAG Immobilien Holding AG,22.06.2017,12566.0,103,Purchase,0.0
350,LEM Holding SA,22.06.2017,66000.0,55,Purchase,0.1
351,Santhera Pharmaceuticals Holding AG,22.06.2017,68098.0,1000,Purchase,0.1
352,Dottikon ES Holding AG,21.06.2017,39450.0,50,Sale,0.0
353,HIAG Immobilien Holding AG,21.06.2017,1000400.0,8200,Purchase,1.0
354,HIAG Immobilien Holding AG,21.06.2017,327692.0,2686,Purchase,0.3
355,LEM Holding SA,21.06.2017,2400.0,2,Purchase,0.0
356,nebag ag,21.06.2017,12320.0,1115,Sale,0.0
357,Chocoladefabriken Lindt & Sprüngli AG,20.06.2017,118200.0,20,Sale,0.1
358,SGS SA,20.06.2017,91781.0,25160,Sale,0.1
359,Schindler Holding AG,20.06.2017,120083.0,1400,Sale,0.1
360,Swiss Life Holding AG,20.06.2017,436809.0,1300,Sale,0.4
